ID,longitude,latitude,KIND,DENSITY
0,121.7033266,30.55765022,0,0
1,121.7118082,30.56727172,0,0
2,121.7202177,30.57183151,0,0
3,121.568824,30.58004619,0,0
4,121.7174174,30.57316433,0,0
5,121.7230776,30.57474024,0,0
6,121.5704169,30.58377141,0,0
7,121.7278253,30.58509282,0,0
8,121.7295773,30.58496897,0,0
9,121.5856407,30.59553503,0,0
10,121.6137115,30.60900586,0,0
11,121.6188219,30.60957931,0,0
12,121.6248074,30.61001955,0,0
13,121.6034714,30.61458506,0,0
14,121.6063068,30.61371125,0,0
15,121.621238,30.61175803,0,0
16,121.6275313,30.61316036,0,0.000026381
17,121.2814706,30.68594754,0,0
18,121.2838493,30.68394128,0,0
19,121.4223251,30.68309998,0,0
20,121.267151,30.6930319,0,0
21,121.2760858,30.69286529,0,0
22,121.2858494,30.69068501,0,0
23,121.292495,30.69150407,0,0
24,121.4152016,30.69225439,0,0
25,121.4202532,30.6914693,0,0
26,121.2679066,30.69972766,0,4.10466E-05
27,121.2765181,30.69964978,0,4.10466E-05
28,121.286719,30.70001943,0,4.10466E-05
29,121.2972464,30.70089919,0,0
30,121.3080842,30.70071096,2,0
31,121.3181907,30.70005194,0,0
32,121.3281835,30.70063989,0,0
33,121.3343742,30.7025358,0,0
34,121.4171799,30.69383664,0,0
35,121.4182848,30.69378215,0,0
36,121.2676688,30.70885725,0,4.10466E-05
37,121.2766411,30.70866355,0,4.10466E-05
38,121.2870774,30.7085605,0,4.10466E-05
39,121.2975137,30.70845662,0,4.10466E-05
40,121.3079499,30.7083519,0,0.000170819
41,121.3183861,30.70824634,2,0.000301945
42,121.3288048,30.70815027,3,0.000307678
43,121.3389613,30.70935162,3,0.000307678
44,121.345746,30.71153046,2,0
45,121.4023936,30.70597073,0,0
46,121.2671748,30.71791512,0,4.10466E-05
47,121.2767598,30.71768116,0,4.10466E-05
48,121.2871972,30.71757808,0,4.10466E-05
49,121.2976344,30.71747416,2,4.10466E-05
50,121.3080716,30.7173694,0,4.10466E-05
51,121.3185087,30.7172638,2,0.00018303
52,121.3289458,30.71715736,1,0.000307678
53,121.3393828,30.71705009,1,0.000307678
54,121.3484409,30.71766846,1,0
55,121.2608853,30.72963857,0,0
56,121.266526,30.72685569,2,4.09986E-05
57,121.2768787,30.72669876,2,4.10466E-05
58,121.287317,30.72659564,0,4.10466E-05
59,121.2977552,30.72649168,3,4.10466E-05
60,121.3081934,30.72638688,2,4.10466E-05
61,121.3186315,30.72628125,2,0.00018303
62,121.3290695,30.72617478,1,0.000307678
63,121.3395075,30.72606746,3,0.000307678
64,121.3499283,30.72597463,3,0.000307678
65,121.3593527,30.72745614,2,0
66,121.3661185,30.72976294,0,0
67,121.2600447,30.73680838,0,0
68,121.2665583,30.73581865,0,4.09986E-05
69,121.2769976,30.73571634,2,4.10466E-05
70,121.2874369,30.73561319,2,4.10466E-05
71,121.297876,30.73550919,1,4.10466E-05
72,121.3083152,30.73540436,1,4.10466E-05
73,121.3187543,30.73529869,1,0.000106815
74,121.3291933,30.73519217,1,0.000187394
75,121.3396323,30.73508482,1,0.000161645
76,121.3500712,30.73497663,3,0.000274192
77,121.36051,30.7348676,1,0.000307678
78,121.3690794,30.73561911,2,0
79,121.250323,30.74900652,0,0
80,121.2576193,30.74576109,0,3.22511E-05
81,121.2666763,30.74483626,0,4.06664E-05
82,121.2771166,30.74473391,0,4.10466E-05
83,121.2875568,30.74463072,0,4.10466E-05
84,121.2979969,30.74452669,3,4.10466E-05
85,121.3084371,30.74442182,1,4.10466E-05
86,121.3188771,30.74431611,2,4.10466E-05
87,121.3293171,30.74420956,3,4.10466E-05
88,121.339757,30.74410217,2,5.80498E-05
89,121.3501969,30.74399394,3,0.000143206
90,121.3606368,30.74388487,2,0.000124359
91,121.3710578,30.74379165,0,7.97663E-05
92,121.3793029,30.74538959,0,0
93,121.3882396,30.74772912,0,0
94,121.2373783,30.75706838,0,0
95,121.2465088,30.7548133,0,0
96,121.256353,30.75395541,0,4.10466E-05
97,121.2667943,30.75385386,0,4.10466E-05
98,121.2772356,30.75375147,0,4.10466E-05
99,121.2876768,30.75364824,0,4.10466E-05
100,121.2981179,30.75354417,0,4.10466E-05
101,121.308559,30.75343927,3,4.10466E-05
102,121.319,30.75333352,3,4.89647E-05
103,121.329441,30.75322693,1,5.26971E-05
104,121.3398819,30.7531195,1,7.60103E-05
105,121.3503227,30.75301123,3,7.97663E-05
106,121.3607635,30.75290213,3,7.97663E-05
107,121.3712043,30.75279218,0,7.97663E-05
108,121.381645,30.75268139,0,0
109,121.3908775,30.75351268,0,0
110,121.397681,30.75669465,0,0
111,121.2269861,30.76452036,0,0
112,121.2355874,30.76317536,0,4.10466E-05
113,121.2460278,30.76307377,0,4.10466E-05
114,121.2564702,30.76297302,0,4.10466E-05
115,121.2669124,30.76287144,0,4.10466E-05
116,121.2773546,30.76276902,0,4.10466E-05
117,121.2877968,30.76266575,0,4.10466E-05
118,121.2982389,30.76256165,0,4.10466E-05
119,121.308681,30.7624567,0,4.10466E-05
120,121.319123,30.76235091,0,7.97663E-05
121,121.3295649,30.76224429,3,7.97663E-05
122,121.3400068,30.76213682,3,7.97663E-05
123,121.3504486,30.76202852,1,7.97663E-05
124,121.3608904,30.76191937,1,7.97663E-05
125,121.3713321,30.76180938,1,7.97663E-05
126,121.3817738,30.76169856,2,7.97663E-05
127,121.3922154,30.76158689,0,0.000037026
128,121.4013238,30.7627566,0,0
129,121.4096417,30.76508311,0,0
130,121.2194517,30.77451428,0,0
131,121.2252859,30.77231177,0,3.14278E-05
132,121.2357007,30.77219135,0,4.10466E-05
133,121.246144,30.77209141,2,4.10466E-05
134,121.2565873,30.77199063,0,4.10466E-05
135,121.2670306,30.77188901,0,4.10466E-05
136,121.2774738,30.77178655,0,4.09874E-05
137,121.2879169,30.77168325,0,3.98435E-05
138,121.29836,30.7715791,0,3.96419E-05
139,121.308803,30.77147412,0,6.99635E-05
140,121.319246,30.7713683,0,7.97663E-05
141,121.3296889,30.77126163,0,7.97663E-05
142,121.3401317,30.77115413,0,7.97663E-05
143,121.3505746,30.77104579,3,7.97663E-05
144,121.3610173,30.7709366,2,7.97663E-05
145,121.37146,30.77082657,1,6.88025E-05
146,121.3819026,30.77071571,0,4.02354E-05
147,121.3923452,30.770604,0,0.000037026
148,121.4027877,30.77049145,0,0.000037026
149,121.412356,30.77082204,0,0.000037026
150,121.4259679,30.77249028,0,0
151,121.4329403,30.77302334,0,0
152,121.4400874,30.77427519,0,0
153,121.124553,30.78533315,0,0
154,121.1312803,30.78443174,0,0
155,121.1419682,30.78491779,0,0
156,121.1524153,30.78453506,0,0
157,121.1630162,30.78402546,0,0
158,121.1733262,30.78277648,0,3.47801E-05
159,121.1830346,30.78382857,0,0
160,121.1936658,30.78466761,0,0
161,121.2046613,30.78477232,0,0
162,121.2159743,30.7824753,0,3.69632E-05
163,121.2253716,30.78130815,0,0.00003958
164,121.235816,30.78120901,0,4.10466E-05
165,121.2462603,30.78110904,1,4.10466E-05
166,121.2567046,30.78100822,0,4.10466E-05
167,121.2671488,30.78090657,0,4.07789E-05
168,121.2775929,30.78080407,0,3.93523E-05
169,121.288037,30.78070073,0,3.68975E-05
170,121.2984811,30.78059655,2,0.00003685
171,121.3089251,30.78049153,0,6.67506E-05
172,121.319369,30.78038567,3,7.97663E-05
173,121.3298129,30.78027897,0,7.97663E-05
174,121.3402568,30.78017142,0,7.97663E-05
175,121.3507005,30.78006304,2,7.97663E-05
176,121.3611443,30.77995382,2,7.97663E-05
177,121.3715879,30.77984375,0,5.86171E-05
178,121.3820315,30.77973285,0,0.000037026
179,121.3924751,30.7796211,0,0.000037026
180,121.4029186,30.77950851,0,0.000037026
181,121.413362,30.77939508,0,0.000037026
182,121.4238303,30.77934671,0,0.000037026
183,121.4342487,30.77916571,0,0.000037026
184,121.4443075,30.77956722,0,0.000037026
185,121.4542245,30.78143549,0,0.000032008
186,121.4618176,30.78289741,0,0
187,121.1218391,30.791647,0,4.34223E-05
188,121.1314756,30.7911805,2,4.58948E-05
189,121.1419214,30.7910889,3,4.86918E-05
190,121.1523671,30.79099646,3,0.000049628
191,121.1628128,30.79090318,0,0.000049628
192,121.1732585,30.79080906,0,0.000049628
193,121.1837041,30.7907141,1,0.000049628
194,121.1941496,30.79061829,3,0.000049628
195,121.2045951,30.79052165,2,0.000049628
196,121.2150406,30.79042416,3,4.10466E-05
197,121.225486,30.79032583,0,4.10466E-05
198,121.2359313,30.79022666,0,4.10466E-05
199,121.2463766,30.79012665,2,4.08994E-05
200,121.2568218,30.7900258,2,4.04768E-05
201,121.267267,30.78992411,0,3.97324E-05
202,121.2777122,30.78982158,0,0.00003685
203,121.2881572,30.7897182,0,0.00003685
204,121.2986023,30.78961398,0,0.00003685
205,121.3090472,30.78950893,0,5.99397E-05
206,121.3194922,30.78940303,0,7.97663E-05
207,121.329937,30.78929629,2,7.97663E-05
208,121.3403818,30.78918871,0,7.97663E-05
209,121.3508266,30.78908028,0,7.97663E-05
